0,1,2,3,4
0.0,3.0,0.0,1.0,1.0
3.0,6.0,0.0,1.0,1.0
6.0,9.0,0.0,1.0,1.0
9.0,12.0,0.0,1.0,1.0
12.0,15.0,0.0,1.0,1.0
15.0,18.0,0.0,1.0,1.0
18.0,21.0,0.0,1.0,1.0
21.0,24.0,0.0,1.0,1.0
24.0,27.0,0.0,1.0,1.0
27.0,30.0,0.0,1.0,1.0
30.0,33.0,0.0,1.0,1.0
33.0,36.0,0.0,1.0,1.0
36.0,39.0,0.0,1.0,1.0
39.0,42.0,0.0,1.0,1.0
42.0,45.0,0.0,1.0,1.0
45.0,48.0,0.0,1.0,1.0
48.0,51.0,0.0,1.0,1.0
51.0,54.0,0.0,1.0,1.0
54.0,57.0,0.0,1.0,1.0
57.0,60.0,0.0,1.0,1.0
60.0,63.0,0.0,1.0,1.0
63.0,66.0,0.0,1.0,1.0
66.0,69.0,0.0,1.0,1.0
69.0,72.0,0.0,1.0,1.0
72.0,75.0,0.0,1.0,1.0
75.0,78.0,0.0,1.0,1.0
78.0,81.0,0.0,1.0,1.0
81.0,84.0,0.0,1.0,1.0
84.0,87.0,0.0,1.0,1.0
87.0,90.0,0.0,1.0,1.0
90.0,93.0,0.0,1.0,1.0
93.0,96.0,0.0,1.0,1.0
96.0,99.0,0.0,1.0,1.0
99.0,102.0,0.0,1.0,1.0
102.0,105.0,0.0,1.0,1.0
105.0,108.0,0.0,1.0,1.0
108.0,111.0,0.0,1.0,1.0
111.0,114.0,0.0,1.0,1.0
114.0,117.0,0.0,1.0,1.0
117.0,120.0,0.0,1.0,1.0
120.0,123.0,0.0,1.0,1.0
123.0,126.0,0.0,1.0,1.0
126.0,129.0,0.0,1.0,1.0
129.0,132.0,0.0,1.0,1.0
132.0,135.0,0.0,1.0,1.0
135.0,138.0,0.0,1.0,1.0
138.0,141.0,0.0,1.0,1.0
141.0,144.0,0.0,1.0,1.0
144.0,147.0,0.0,1.0,1.0
147.0,150.0,0.0,1.0,1.0
150.0,153.0,0.0,1.0,1.0
153.0,156.0,0.0,1.0,1.0
156.0,159.0,0.0,1.0,1.0
159.0,162.0,0.0,1.0,1.0
162.0,165.0,0.0,1.0,1.0
165.0,168.0,0.0,1.0,1.0
168.0,171.0,0.0,1.0,1.0
171.0,174.0,0.0,1.0,1.0
174.0,177.0,0.0,1.0,1.0
177.0,180.0,0.0,1.0,1.0
180.0,183.0,0.0,1.0,1.0
183.0,186.0,0.0,1.0,1.0
186.0,189.0,0.0,1.0,1.0
189.0,192.0,0.0,1.0,1.0
192.0,195.0,0.0,1.0,1.0
195.0,198.0,0.0,1.0,1.0
198.0,201.0,0.0,1.0,1.0
201.0,204.0,0.0,1.0,1.0
204.0,207.0,0.0,1.0,1.0
207.0,210.0,0.0,1.0,1.0
210.0,213.0,0.0,1.0,1.0
213.0,216.0,0.0,1.0,1.0
216.0,219.0,0.0,1.0,1.0
219.0,222.0,0.0,1.0,1.0
222.0,225.0,0.0,1.0,1.0
225.0,228.0,0.0,1.0,1.0
0.0,3.0,0.0,1.0,2.0
3.0,6.0,0.0,1.0,2.0
6.0,9.0,0.0,1.0,2.0
9.0,12.0,0.0,1.0,2.0
12.0,15.0,0.0,1.0,2.0
15.0,18.0,0.0,1.0,2.0
